index,review_count,positive_count,positive_sum,negative_count,negative_sum
0,34,29,12.096964389534167,0,0.0
1,30,29,13.245742642773891,0,0.0
2,5,3,1.32375,1,-0.0377450980392157
3,0,0,0.0,0,0.0
4,0,0,0.0,0,0.0
5,102,92,37.92140742181708,0,0.0
6,11,11,5.49931255896881,0,0.0
7,0,0,0.0,0,0.0
8,81,76,33.06214135897172,0,0.0
9,11,11,4.3376137075643655,0,0.0
10,0,0,0.0,0,0.0
11,96,88,37.54877931605763,1,-0.125
12,18,15,7.230528198653198,1,-0.09166666666666665
13,12,12,5.018313838938839,0,0.0
14,1,1,0.26515151515151514,0,0.0
15,12,12,5.57125248015873,0,0.0
16,53,47,20.037947483681037,0,0.0
17,6,6,1.9655158730158733,0,0.0
18,2,2,0.9952380952380953,0,0.0
19,0,0,0.0,0,0.0
20,3,3,1.206861111111111,0,0.0
21,11,11,3.5701136850363038,0,0.0
22,0,0,0.0,0,0.0
23,7,7,2.7982381854256855,0,0.0
24,8,6,2.5392213108528896,0,0.0
25,6,5,2.4163541666666664,0,0.0
26,0,0,0.0,0,0.0
27,1,0,0.0,0,0.0
28,63,61,26.829435869616326,0,0.0
29,0,0,0.0,0,0.0
30,1,1,0.6000000000000001,0,0.0
31,8,7,3.595001460180032,0,0.0
32,3,3,1.1389861751152073,0,0.0
33,38,35,14.793405483075132,1,-0.26041666666666663
34,230,220,100.15307649335344,1,-0.11966666666666663
35,7,7,3.175312169312169,0,0.0
36,28,23,10.765953694966996,1,-0.119
37,12,12,4.611793620731121,0,0.0
38,18,15,6.950078703703704,1,-0.125
39,46,41,16.472192343944183,1,-0.21215277777777777
40,183,168,75.0431379829513,2,-0.10333333333333332
41,3,3,1.5,0,0.0
42,3,3,1.5617282717282719,0,0.0
43,0,0,0.0,0,0.0
44,1,0,0.0,0,0.0
45,3,3,1.1672416472416471,0,0.0
46,0,0,0.0,0,0.0
47,9,9,3.284951051127522,0,0.0
48,26,25,9.939890659413686,1,-0.18305555555555553
49,7,7,3.3696392496392495,0,0.0
50,0,0,0.0,0,0.0
